,place,place_address,station_name,free_bases,station_id,station_address,distance
0,ABC Schule (Alemán),CALLE LEIZARAN 27,147 - Doctor Arce 45,8,1553,"Avenida del Doctor Arce nº 45,",175.64
1,Academia Darío Estudio,CALLE GRAN VIA 63,116b - Plaza de España B,8,1522,"Calle Princesa nº 5,",145.7
2,AFI Escuela de Finanzas,CALLE MARQUES DE VILLAMEJOR 5,103 - Ortega y Gasset,19,1506,"Calle José Ortega y Gasset nº 4,",105.45
3,Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC),CALLE SERRANO 115 BIS,250 - Serrano 113,24,1656,"Calle Serrano nº 113B,",174.1
4,Alliance Française de Madrid,CUESTA SANTO DOMINGO 13,23 - Santo Domingo,15,1426,"Plaza de Santo Domingo nº 1,",52.68
5,"Altair, Colegio Internacional",CALLE JOAQUIN BAU 4,255 - López Pozas,19,1661,"Calle General López Pozas nº 2,",51.04
6,Área de Gobierno de Hacienda y Personal,CALLE ALCALA 45,20a - Banco de España A,11,1424,"Calle Alcalá nº 49,",93.74
7,Aula de estudio de Manoteras. Sala de estudio (Hortaleza),CALLE CUEVAS DEL ALMANZORA 187,"525 - Calle de Bacares, 20",16,2037,"Calle de Bacares, 20,",385.06
8,Aula de Naturaleza Palacio Valdés,"CARRETERA COLMENAR VIEJO km 22,600 ","453 - Avenida del Ensanche de Vallecas, 9",7,2190,"Avenida del Ensanche de Vallecas, 9,",
9,Aula Municipal de Formación de Personas Adultas. Distrito Centro.,CALLE CASINO 5,46 - Ribera de Curtidores,1,1450,"Calle Ribera de Curtidores nº 28,",210.21
10,Aula Municipal de Formación de Personas Adultas. Distrito Chamberí,CALLE ALMAGRO 5 I.F.E. DEL GOBIERNO LOCAL DE MADRID,8 - Alonso Martínez,24,1412,"Plaza de Alonso Martínez nº 5,",80.69
11,Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,CALLE SANTA FELICIDAD 39 EN CENTRO CULTURAL ELIPA,234 - Marqués de Corbera 52,18,1640,"Avenida Marqués de Corbera nº 52,",200.24
12,Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,CALLE SAN ROMAN DEL VALLE 8 EN CENTRO CULTURAL ANTONIO MACHADO,501 - Hermanos Garcia Noblejas 133,2,1981,"Hermanos Garcia Noblejas, 133,",238.16
13,Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,CALLE DOCTOR MARTIN AREVALO 2 CENTRO CULTURAL ÁGATA,"413 - Doctor Martín Arévalo, 19",21,2280,"Calle Doctor Martín Arévalo, 19,",92.15
14,Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,PLAZA PINAZO 9,"406 - Calle Cifuentes, 5",21,2245,"Calle Cifuentes, 5,",766.26
15,British Council Madrid,PASEO GENERAL MARTINEZ CAMPOS 31,125 - General Martínez Campos ,27,1531,"Calle Fernández de la Hoz nº 29,",75.01
16,Casa de Niños Daniel Vázquez Díaz,CALLE ARMENTEROS 46,"307 - Calle San Restituto, 74",22,2084,"Calle San Restituto, 74,",352.57
17,Casa de Niños Giner de los Ríos,CALLE MEMBEZAR 25,"423 - Avenida de Entrevias, 56",3,2027,"Avenida de Entrevias, 56,",206.75
18,Casa de Niños Lope de Vega,CALLE INGLATERRA 8 UBICADA EN C. P. LOPE DE VEGA,"351 - Calle Comandante Fontanes, 1",3,1987,"Calle Comandante Fontanes, 1,",183.19
19,Casa de Niños Nuestra Señora de la Fuencisla,CALLE TOMELLOSO 40 UBICADA EN C.P. NTRA. SRA FUENCISLA,"388 - Doctor Tolosa Latour, 7",16,1952,"Doctor Tolosa Latour, 7,",267.46
20,Casa de Niños República de Brasil,AVENIDA FUEROS 34 UBICADA EN C. P. REPUBLICA BRASIL,"383 - Avenida de la Perla, 35",12,1955,"Avenida de la Perla, 35,",377.54
21,Casa de Niños San Miguel,AVENIDA VIRGEN DEL CARMEN 32,"533 - Avenida de San Luis, 23",13,2109,"Avenida de San Luis, 23,",406.14
22,Centro  de Educación Especial Colegio Gaudem,CALLE PLAYA DE BARLOVENTO 14,"560 - Playa de Zarauz, 16",2,2240,"560 - Playa de Zarauz, 16,",272.01
23,Centro Bobath de educación de adultos,CALLE MIRADOR DE LA REINA 115,"591 - Av.Ventisquero de la Condesa, 39",18,2150,"Av.Ventisquero de la Condesa, 39,",317.72
24,Centro Bobath de Formación Profesional,CALLE MIRADOR DE LA REINA 115,"591 - Av.Ventisquero de la Condesa, 39",18,2150,"Av.Ventisquero de la Condesa, 39,",317.72
25,Centro Cultural y Deportivo Tajamar,CALLE PIO FELIPE 12,"426 - Calle Humanes, 3",11,2030,"Calle Humanes, 3,",234.17
26,Centro de artes plásticas Kroom Dos Diseños,CALLE PILAR DE ZARAGOZA 104,195 - Avenida de América 1,19,1601,"Calle Padre Indalecio Hernández nº 1,",137.71
27,Centro de Danza Carmen Roche,CALLE COSLADA 7,194 - Avenida de América 2,22,1600,"Calle Francisco Silvela nº 86,",162.43
28,Centro de Educación Aviation and MAintenance Group,AVENIDA OROVILLA 10,"383 - Avenida de la Perla, 35",12,1955,"Avenida de la Perla, 35,",371.13
29,Centro de Educación de Adultos Cen-Taller Norte Joven Villa de Vallecas,CALLE PEÑA VEIGA  sin número,"440 - Paseo de Federico Garcia Lorca, 4",13,2053,"Paseo de Federico Garcia Lorca, 4,",322.69
30,Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz,CALLE CORREGIDOR ALONSO DE TOBAR 7,220 - Plaza del Encuentro,12,1626,"Calle Arroyo de las Pilillas nº 6,",311.66
31,Centro de Educación de Personas Adultas (CEPA) Aluche,CALLE OCA&amp;Ntilde;A 35,"344 - Calle Ocaña, 103",20,2174,"Calle Ocaña, 103,",203.98
32,Centro de Educación de Personas Adultas (CEPA) Arganzuela,CALLE BATALLA DEL SALADO 29,171 - Embajadores-Cáceres,10,1577,"Calle Embajadores nº 97,",213.75
33,Centro de Educación de Personas Adultas (CEPA) Canillejas,CALLE MUSAS 11,"519 - Calle Troya, 11",15,2157,"Calle Troya, 11,",312.38
34,Centro de Educación de Personas Adultas (CEPA) Cid Campeador,CALLE ANSELMO LORENZO 12,"347 - Avda de las Aguilas, 27",14,2315,"Avda de las Aguilas, 27,",260.48
35,Centro de Educación de Personas Adultas (CEPA) Ciudad Lineal,CALLE HERMANOS GARCIA NOBLEJAS 70,"484 - Calle Luis Campos, 3",8,1967,"Calle Luis Campos, 3,",50.67
36,Centro de Educación de Personas Adultas (CEPA) Daoíz y Velarde,CALLE FERNANDO ORTIZ 2 PLANTA 2,"385 - Calle Campotejar , 25",5,1953,"Calle Campotejar , 25,",93.21
37,Centro de Educación de Personas Adultas (CEPA) Distrito Centro,CALLE SAN BERNARDO 70 PLANTA 2,15 - Norte,17,1419,"Calle norte nº 8,",120.88
38,Centro de Educación de Personas Adultas (CEPA) Dulce Chacón,CALLE ABERTURA 2,"531 - Calle de Santa Virgilia, 6",3,2107,"Calle de Santa Virgilia, 6,",417.85
39,Centro de Educación de Personas Adultas (CEPA) Entrevías,CALLE SERENA 394,"423 - Avenida de Entrevias, 56",3,2027,"Avenida de Entrevias, 56,",546.32
40,Centro de Educación de Personas Adultas (CEPA) Fuencarral,CALLE BRAILLE 10,"585 - Molins de Rey, 8",19,2114,"Calle Molins de Rey, 8,",46.65
41,Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,CALLE MAR AMARILLO 21,"532 - Avenida Barranquilla, 17",22,2108,"Avenida Barranquilla, 17,",131.87
42,Centro de Educación de Personas Adultas (CEPA) Joaquín Sorolla,CALLE ALONSO HEREDIA 16,191 - Diego de león,16,1597,"Calle Alonso Heredia nº 1,",136.61
43,Centro de Educación de Personas Adultas (CEPA) José Luis Sampedro,CALLE CHANTADA 34,"571 - Calle Melchor Fernandez Almagro, 80",17,2014,"Calle Melchor Fernandez Almagro, 80,",349.72
44,Centro de Educación de Personas Adultas (CEPA) La Albufera,CALLE NUESTRA SEÑORA DEL PERPETUO SOCORRO 23,227 - Concordia,2,1633,"Calle Arroyo del Olivar nº 6,",291.24
45,Centro de Educación de Personas Adultas (CEPA) Las Rosas,CALLE ARCOS DE JALON 9,"504 - Calle de San Roman del Valle, 20",23,2038,"Calle de San Roman del Valle, 20,",206.44
46,Centro de Educación de Personas Adultas (CEPA) Los Rosales,CALLE CONCEPCION DE LA OLIVA 17,"401 - Eduardo Maristany, 7",4,2244,"Calle de Eduardo Maristany, 7,",168.96
47,Centro de Educación de Personas Adultas (CEPA) Moncloa,CALLE JUAN ALVAREZ MENDIZABAL 20,115 - Ferraz,16,1520,"Calle Evaristo San Miguel nº 2,",173.94
48,Centro de Educación de Personas Adultas (CEPA) Oporto,AVENIDA OPORTO 46,"364 - Avenida de Oporto, 34 ",6,2128,"Avenida de Oporto, 34,",129.31
49,Centro de Educación de Personas Adultas (CEPA) Orcasitas,CALLE OREJA 186,395b - 395 - Guetaria  84b,11,2226,"Guetaria , 84b,",272.27
50,Centro de Educación de Personas Adultas (CEPA) Pablo Guzmán,CALLE ANDORRA 19,"546 - Calle Andorra, 6",21,2348,"546 - Calle Andorra, 6,",148.93
51,Centro de Educación de Personas Adultas (CEPA) Pan Bendito,CALLE CAMINO VIEJO DE LEGANES 188,"361 - Avenida de Abrantess, 108",15,2098,"Avenida de Abrantes, 108,",146.5
52,Centro de Educación de Personas Adultas (CEPA) Tetuán,CALLE PINOS ALTA 63,"296 - Calle de Costa Verde, 24",20,1996,"Calle de Costa Verde, 24,",200.15
53,Centro de Educación de Personas Adultas (CEPA) Vallecas,PLAZA ANTONIO MARIA SEGOVIA ,"443 - Calle Fuentespina, 33",16,2101,"Calle Fuentespina, 33,",518.63
54,Centro de Educación de Personas Adultas (CEPA) Vicálvaro,CALLE LAGO COMO 4,"470 - Avenida Real, 3",15,2263,"470 - Avenida Real, 3,",75.92
55,Centro de Educación de Personas Adultas (CEPA) Villaverde,CALLE VILLALONSO 10,"404 -  Arroyo Bueno, 53",21,2040,"Arroyo Bueno, 53,",211.52
56,Centro de Educación de Personas Adultas (CEPA) Vista Alegre,CALLE GENERAL RICARDOS 179,"365 - Av de la plaza de Toros , 3",12,2133,"Av de la plaza de Toros , 3,",52.14
57,Centro de Educación Especial  El Cole de Celia y Pepe,CALLE SOPELANA 5,"588 - Av. del Campo de Calatrava, 17",24,2119,"Av. del Campo de Calatrava, 17,",111.69
