,place,place_address,station_name,station_address,distance
0,ABC Schule (Alemán),CALLE LEIZARAN 27,Doctor Arce 45,Avenida del Doctor Arce nº 45,146.6
1,Academia Darío Estudio,CALLE GRAN VIA 63,Plaza de España B,Calle Princesa nº 5,145.7
2,AFI Escuela de Finanzas,CALLE MARQUES DE VILLAMEJOR 5,Ortega y Gasset,Calle José Ortega y Gasset nº 4,130.77
3,Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC),CALLE SERRANO 115 BIS,Serrano 113,Calle Serrano nº 113B,141.14
4,Alliance Française de Madrid,CUESTA SANTO DOMINGO 13,Santo Domingo,Plaza de Santo Domingo nº 1,63.54
5,"Altair, Colegio Internacional",CALLE JOAQUIN BAU 4,López Pozas,Calle General López Pozas nº 2,63.09
6,Área de Gobierno de Hacienda y Personal,CALLE ALCALA 45,Banco de España A,Calle Alcalá nº 49,70.67
7,Aula de estudio de Manoteras. Sala de estudio (Hortaleza),CALLE CUEVAS DEL ALMANZORA 187,Chamartín,Calle Rodríguez Jaén nº 40,2269.24
8,Aula de Naturaleza Palacio Valdés,"CARRETERA COLMENAR VIEJO km 22,600 ",Puerta del Sol A,Puerta del Sol nº 1,
9,Aula Municipal de Formación de Personas Adultas. Distrito Centro.,CALLE CASINO 5,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,210.21
10,Aula Municipal de Formación de Personas Adultas. Distrito Chamberí,CALLE ALMAGRO 5 I.F.E. DEL GOBIERNO LOCAL DE MADRID,Alonso Martínez,Plaza de Alonso Martínez nº 5,80.69
11,Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,CALLE SANTA FELICIDAD 39 EN CENTRO CULTURAL ELIPA,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,207.03
12,Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,CALLE SAN ROMAN DEL VALLE 8 EN CENTRO CULTURAL ANTONIO MACHADO,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1935.58
13,Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,CALLE DOCTOR MARTIN AREVALO 2 CENTRO CULTURAL ÁGATA,Glorieta de Cádiz,Calle Antonio López nº 129,4788.1
14,Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,PLAZA PINAZO 9,Embajadores 191,Calle Sodio nº 1B,5179.89
15,British Council Madrid,PASEO GENERAL MARTINEZ CAMPOS 31,General Martínez Campos ,Calle Fernández de la Hoz nº 29,80.13
16,Casa de Niños Daniel Vázquez Díaz,CALLE ARMENTEROS 46,Francos Rodríguez,Calle Francos Rodríguez nº 62,990.06
