,place,place_address,station_name,station_address,distance
0,ABC Schule (Alemán),CALLE LEIZARAN 27,Bicipark Orense,"Avenida General Perón, 27",1198.13
1,Academia Darío Estudio,CALLE GRAN VIA 63,Bicipark Canalejas,-,1020.46
2,AFI Escuela de Finanzas,CALLE MARQUES DE VILLAMEJOR 5,Bicipark Almagro,"Calle Almagro, 11",460.95
3,Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC),CALLE SERRANO 115 BIS,Bicipark Almagro,"Calle Almagro, 11",1277.26
4,Alliance Française de Madrid,CUESTA SANTO DOMINGO 13,Bicipark Canalejas,-,837.67
5,"Altair, Colegio Internacional",CALLE JOAQUIN BAU 4,Bicipark Recuerdo,"Calle Hiedra, 26",1124.43
6,Área de Gobierno de Hacienda y Personal,CALLE ALCALA 45,Bicipark Canalejas,-,304.97
7,Aula de estudio de Manoteras. Sala de estudio (Hortaleza),CALLE CUEVAS DEL ALMANZORA 187,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,866.05
8,Aula de Naturaleza Palacio Valdés,"CARRETERA COLMENAR VIEJO km 22,600 ",Bicipark Fuente de la Mora,Estación de Fuente de la Mora,
9,Aula Municipal de Formación de Personas Adultas. Distrito Centro.,CALLE CASINO 5,Bicipark Canalejas,-,1340.07
10,Aula Municipal de Formación de Personas Adultas. Distrito Chamberí,CALLE ALMAGRO 5 I.F.E. DEL GOBIERNO LOCAL DE MADRID,Bicipark Almagro,"Calle Almagro, 11",273.93
11,Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,CALLE SANTA FELICIDAD 39 EN CENTRO CULTURAL ELIPA,Bicipark Salamanca,Pl. del Marqués de Salamanca,2531.15
12,Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,CALLE SAN ROMAN DEL VALLE 8 EN CENTRO CULTURAL ANTONIO MACHADO,Bicipark Salamanca,Pl. del Marqués de Salamanca,4983.2
13,Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,CALLE DOCTOR MARTIN AREVALO 2 CENTRO CULTURAL ÁGATA,Bicipark Aviación,Parking Aviación Española,7589.82
14,Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,PLAZA PINAZO 9,Bicipark Canalejas,-,8381.03
15,British Council Madrid,PASEO GENERAL MARTINEZ CAMPOS 31,Bicipark Almagro,"Calle Almagro, 11",548.1
16,Casa de Niños Daniel Vázquez Díaz,CALLE ARMENTEROS 46,Bicipark Orense,"Avenida General Perón, 27",2083.54
17,Casa de Niños Giner de los Ríos,CALLE MEMBEZAR 25,Bicipark Montalban,"Calle de Montalbán, 5",4691.17
18,Casa de Niños Lope de Vega,CALLE INGLATERRA 8 UBICADA EN C. P. LOPE DE VEGA,Bicipark Canalejas,-,3273.17
19,Casa de Niños Nuestra Señora de la Fuencisla,CALLE TOMELLOSO 40 UBICADA EN C.P. NTRA. SRA FUENCISLA,Bicipark Canalejas,-,4213.41
20,Casa de Niños República de Brasil,AVENIDA FUEROS 34 UBICADA EN C. P. REPUBLICA BRASIL,Bicipark Montalban,"Calle de Montalbán, 5",5327.57
21,Casa de Niños San Miguel,AVENIDA VIRGEN DEL CARMEN 32,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1465.1
22,Centro  de Educación Especial Colegio Gaudem,CALLE PLAYA DE BARLOVENTO 14,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5986.16
23,Centro Bobath de educación de adultos,CALLE MIRADOR DE LA REINA 115,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",714.11
24,Centro Bobath de Formación Profesional,CALLE MIRADOR DE LA REINA 115,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",714.11
25,Centro Cultural y Deportivo Tajamar,CALLE PIO FELIPE 12,Bicipark Montalban,"Calle de Montalbán, 5",4130.42
26,Centro de artes plásticas Kroom Dos Diseños,CALLE PILAR DE ZARAGOZA 104,Bicipark Salamanca,Pl. del Marqués de Salamanca,965.55
27,Centro de Danza Carmen Roche,CALLE COSLADA 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,860.58
28,Centro de Educación Aviation and MAintenance Group,AVENIDA OROVILLA 10,Bicipark Canalejas,-,5700.76
29,Centro de Educación de Adultos Cen-Taller Norte Joven Villa de Vallecas,CALLE PEÑA VEIGA  sin número,Bicipark Montalban,"Calle de Montalbán, 5",7319.62
30,Centro de Educación de Personas Adultas (CEPA)  Cultural Moratalaz,CALLE CORREGIDOR ALONSO DE TOBAR 7,Bicipark Montalban,"Calle de Montalbán, 5",3852.51
31,Centro de Educación de Personas Adultas (CEPA) Aluche,CALLE OCA&amp;Ntilde;A 35,Bicipark Aviación,Parking Aviación Española,2439.62
32,Centro de Educación de Personas Adultas (CEPA) Arganzuela,CALLE BATALLA DEL SALADO 29,Bicipark Canalejas,-,1946.61
33,Centro de Educación de Personas Adultas (CEPA) Canillejas,CALLE MUSAS 11,Bicipark Salamanca,Pl. del Marqués de Salamanca,6049.72
34,Centro de Educación de Personas Adultas (CEPA) Cid Campeador,CALLE ANSELMO LORENZO 12,Bicipark Aviación,Parking Aviación Española,1120.24
35,Centro de Educación de Personas Adultas (CEPA) Ciudad Lineal,CALLE HERMANOS GARCIA NOBLEJAS 70,Bicipark Salamanca,Pl. del Marqués de Salamanca,3979.2
36,Centro de Educación de Personas Adultas (CEPA) Daoíz y Velarde,CALLE FERNANDO ORTIZ 2 PLANTA 2,Bicipark Canalejas,-,5627.25
37,Centro de Educación de Personas Adultas (CEPA) Distrito Centro,CALLE SAN BERNARDO 70 PLANTA 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1086.79
38,Centro de Educación de Personas Adultas (CEPA) Dulce Chacón,CALLE ABERTURA 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1409.8
39,Centro de Educación de Personas Adultas (CEPA) Entrevías,CALLE SERENA 394,Bicipark Montalban,"Calle de Montalbán, 5",4963.97
40,Centro de Educación de Personas Adultas (CEPA) Fuencarral,CALLE BRAILLE 10,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2651.98
41,Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,CALLE MAR AMARILLO 21,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,2167.01
42,Centro de Educación de Personas Adultas (CEPA) Joaquín Sorolla,CALLE ALONSO HEREDIA 16,Bicipark Salamanca,Pl. del Marqués de Salamanca,776.0
43,Centro de Educación de Personas Adultas (CEPA) José Luis Sampedro,CALLE CHANTADA 34,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2694.78
44,Centro de Educación de Personas Adultas (CEPA) La Albufera,CALLE NUESTRA SEÑORA DEL PERPETUO SOCORRO 23,Bicipark Montalban,"Calle de Montalbán, 5",3682.21
45,Centro de Educación de Personas Adultas (CEPA) Las Rosas,CALLE ARCOS DE JALON 9,Bicipark Salamanca,Pl. del Marqués de Salamanca,4757.63
46,Centro de Educación de Personas Adultas (CEPA) Los Rosales,CALLE CONCEPCION DE LA OLIVA 17,Bicipark Montalban,"Calle de Montalbán, 5",7136.76
47,Centro de Educación de Personas Adultas (CEPA) Moncloa,CALLE JUAN ALVAREZ MENDIZABAL 20,Bicipark Canalejas,-,1545.71
48,Centro de Educación de Personas Adultas (CEPA) Oporto,AVENIDA OPORTO 46,Bicipark Canalejas,-,4116.89
